"Protein","Label","log2FC","SE","DF","pvalue","adj.pvalue","issue"
"sp|A4D1P6|WDR91_HUMAN","MBC Squamous vs Normal",0.179801010889508,1.31631364894975,9.49955337451406,0.894202708035251,0.958187194728289,NA
"sp|A4D1P6|WDR91_HUMAN","MBC Sarcomatoid vs Normal",0.34487765971585,1.07476559379596,9.49955337463621,0.755243875084497,0.919831932154795,NA
"sp|A4D1P6|WDR91_HUMAN","TNBC vs Normal",0.299117661601583,1.07476559379597,9.49955337447412,0.786738072120612,0.890530707563468,NA
"sp|A4D263|SPT48_HUMAN","MBC Spindle vs Normal",0.0736454743949291,0.337681076631104,18.4995552231538,0.829745248179804,0.916183789445511,NA
"sp|A4D263|SPT48_HUMAN","MBC Squamous vs Normal",0.353928021387524,0.435944395373885,18.4995552231563,0.427192652614577,0.663112027325818,NA
"sp|A4D263|SPT48_HUMAN","MBC Sarcomatoid vs Normal",0.535370779553088,0.384466818537239,18.4995552231513,0.18028305062178,0.549433767766637,NA
"sp|A4D263|SPT48_HUMAN","TNBC vs Normal",-0.306836288140289,0.355947108297382,18.4995552231588,0.399708875385401,0.604037666160774,NA
"sp|A4QPH2|PI4P2_HUMAN","MBC Spindle vs Normal",0.885732796767058,0.523098705100857,17.4995552231541,0.108134351696303,0.284405404554402,NA
"sp|A4QPH2|PI4P2_HUMAN","MBC Squamous vs Normal",0.331354555033139,0.653873381376072,17.499555223147,0.618651278214495,0.795392206601572,NA
"sp|A4QPH2|PI4P2_HUMAN","MBC Sarcomatoid vs Normal",0.818453665709486,0.584842131773816,17.4995552231445,0.179156677894674,0.549433767766637,NA
"sp|A4QPH2|PI4P2_HUMAN","TNBC vs Normal",0.228410873210085,0.54706972061203,17.49955522315,0.681378115053721,0.818909018840492,NA
"sp|A5YKK6|CNOT1_HUMAN","MBC Spindle vs Normal",-0.123646477113312,0.459768763380495,30.2741731921537,0.78980643768343,0.892315354545367,NA
"sp|A5YKK6|CNOT1_HUMAN","MBC Squamous vs Normal",0.649518022679466,0.474608722297346,30.4273605300756,0.181165546904533,0.425332090985519,NA
"sp|A5YKK6|CNOT1_HUMAN","MBC Sarcomatoid vs Normal",0.628441323157897,0.474608722297346,30.4273605300562,0.195322866292841,0.56450200183197,NA
"sp|A5YKK6|CNOT1_HUMAN","TNBC vs Normal",0.84092373962972,0.450341653056039,30.4532593137921,0.0715116345102062,0.202735483836435,NA
"sp|A6NDX5|ZN840_HUMAN","MBC Spindle vs Normal",-0.541544147766335,0.536188853390834,9.4995552233151,0.337533930550638,0.569481291516889,NA
"sp|A6NDX5|ZN840_HUMAN","MBC Squamous vs Normal",-0.644899361343339,0.437796365525174,9.4995552233151,0.173079573844672,0.416816283081351,NA
"sp|A6NDX5|ZN840_HUMAN","MBC Sarcomatoid vs Normal",-0.396183288437657,0.437796365525174,9.4995552233151,0.387867417060782,0.739092324697759,NA
"sp|A6NDX5|ZN840_HUMAN","TNBC vs Normal",-1.05358622847444,0.437796365525174,9.4995552233151,0.0381135520247506,0.142404186640493,NA
"sp|A6NE52|WDR97_HUMAN","MBC Spindle vs Normal",0.53108758741491,0.613229165015746,25.593146207956,0.394508901764644,0.619223622847445,NA
"sp|A6NE52|WDR97_HUMAN","MBC Squamous vs Normal",2.72158248568702,0.683267834571839,25.5509573778876,0.000500995970252199,0.0220907910633079,NA
"sp|A6NE52|WDR97_HUMAN","MBC Sarcomatoid vs Normal",0.626119461359263,0.640078334291552,25.5341019961877,0.337156920382584,0.702015112536053,NA
"sp|A6NE52|WDR97_HUMAN","TNBC vs Normal",0.262807196853475,0.60805842825478,25.4892554571612,0.669225378415391,0.812876584322036,NA
"sp|A6NFI3|ZN316_HUMAN","MBC Spindle vs Normal",0.239866223045316,0.682959364314684,9.4995552233151,0.733090598142738,0.863716233448772,NA
"sp|A6NFI3|ZN316_HUMAN","MBC Squamous vs Normal",0.0744857842016051,0.557633985875512,9.4995552233151,0.896526060002466,0.959422275816063,NA
"sp|A6NFI3|ZN316_HUMAN","MBC Sarcomatoid vs Normal",0.307548639399228,0.557633985875512,9.4995552233151,0.594008706101975,0.866673490801274,NA
"sp|A6NFI3|ZN316_HUMAN","TNBC vs Normal",0.0492227073661117,0.557633985875512,9.4995552233151,0.931494572177687,0.969451950118848,NA
"sp|A6NHL2|TBAL3_HUMAN","MBC Spindle vs Normal",-0.466007130021395,0.28295713402232,25.8806017188402,0.111665555202542,0.290453604065437,NA
"sp|A6NHL2|TBAL3_HUMAN","MBC Squamous vs Normal",0.0175156999359065,0.322492005159046,27.3263759570973,0.957080467120593,0.986290073143953,NA
"sp|A6NHL2|TBAL3_HUMAN","MBC Sarcomatoid vs Normal",-0.421959598708367,0.305240185775842,28.2291484473174,0.177693735816112,0.549433767766637,NA
"sp|A6NHL2|TBAL3_HUMAN","TNBC vs Normal",-0.116010320272501,0.28406958184977,26.3964208992117,0.686283638631176,0.821388266266377,NA
"sp|A6NHR9|SMHD1_HUMAN","MBC Spindle vs Normal",0.0162061555727123,0.286562123972822,17.5053885223458,0.955541205530725,0.978358036053528,NA
"sp|A6NHR9|SMHD1_HUMAN","MBC Squamous vs Normal",0.558814587861104,0.369057231606851,17.4995552248282,0.147835691794577,0.387365201712439,NA
"sp|A6NHR9|SMHD1_HUMAN","MBC Sarcomatoid vs Normal",0.402087974238826,0.327162947981053,17.5119711810181,0.23532597655068,0.614601203148787,NA
"sp|A6NHR9|SMHD1_HUMAN","TNBC vs Normal",0.127372273043417,0.301333967773646,17.499555224777,0.677666436557134,0.818570237596708,NA
"sp|A6NM36|LRC30_HUMAN","MBC Spindle vs Normal",-0.924486586205501,0.610726021008758,9.4995552233151,0.162625984313403,0.367906518895493,NA
"sp|A6NM36|LRC30_HUMAN","MBC Squamous vs Normal",-0.308302709802614,0.747983562055869,9.4995552233151,0.689355179474506,0.842425203465754,NA
"sp|A6NM36|LRC30_HUMAN","MBC Sarcomatoid vs Normal",-0.295809082876275,0.610726021008758,9.4995552233151,0.639105183596038,0.889090979876522,NA
"sp|A6NM36|LRC30_HUMAN","TNBC vs Normal",-0.94808562090962,0.610726021008758,9.4995552233151,0.153216110895462,0.332593931384867,NA
"sp|A6NMY6|AXA2L_HUMAN","MBC Spindle vs Normal",-0.701894029861879,0.469456346292678,27.4995527395177,0.146271189881661,0.343070939731581,NA
"sp|A6NMY6|AXA2L_HUMAN","MBC Squamous vs Normal",-0.335152836768483,0.524868151389554,27.4995527394696,0.528400544338597,0.732346585848401,NA
"sp|A6NMY6|AXA2L_HUMAN","MBC Sarcomatoid vs Normal",-0.544645071969983,0.492369969821382,27.4995527379677,0.27823623561949,0.654977675286929,NA
"sp|A6NMY6|AXA2L_HUMAN","TNBC vs Normal",-0.92429769506616,0.469456346292678,27.4995527395177,0.0591216043038462,0.181032765873487,NA
"sp|A6NMZ7|CO6A6_HUMAN","MBC Spindle vs Normal",-2.9398018647631,0.823517400030149,18.4162419593326,0.00212627947905469,0.0248651691145651,NA
"sp|A6NMZ7|CO6A6_HUMAN","MBC Squamous vs Normal",-2.18853875275648,1.06307300262772,18.4093774240119,0.0539602918562191,0.232127962832699,NA
"sp|A6NMZ7|CO6A6_HUMAN","MBC Sarcomatoid vs Normal",-0.640691940210444,0.937699847290819,18.4238726002213,0.5029458311252,0.828057135430293,NA
"sp|A6NMZ7|CO6A6_HUMAN","TNBC vs Normal",-3.10274795834959,0.867995471922108,18.4093774241134,0.00210448589932716,0.0242529167666362,NA
"sp|A6NNT2|CP096_HUMAN","MBC Spindle vs Normal",0.178996545768634,0.194414803867509,41.7650521442843,0.362497923936226,0.590938435909861,NA
