Protein,g2_g1.p-value,g2_g1.log2foldchange,g4_g3.p-value,g4_g3.log2foldchange
sp|O15144|ARPC2_HUMAN,2.01838545876853e-13,-2.32652328171794,1.99840144432528e-14,-2.77759337860595
sp|O15145|ARPC3_HUMAN,0.00429307991799854,-3.02845022358817,0.0352417520841328,-2.5163905103592
sp|O15173-2|PGRC2_HUMAN;sp|O15173|PGRC2_HUMAN,0.502690724237809,0.385800441531062,0.624226924337068,0.326023386236976
sp|O15212|PFD6_HUMAN,0.00539258723361669,3.17996542830449,0.134091527647298,1.08755742068883
sp|O15228|GNPAT_HUMAN,0.548136322828168,-0.519491234719346,0.0147783946327271,-3.92203446653081
sp|O15229-2|KMO_HUMAN;sp|O15229|KMO_HUMAN,0.786151091305743,0.105588295325462,0.495809568502634,0.458811572674274
sp|O15230|LAMA5_HUMAN,0.0238313669607089,1.52741099669898,0.317765505142868,0.763446758456453
sp|O15247|CLIC2_HUMAN,0.0148909549344642,-0.932256012040125,0.0461353372948636,-0.713635863045158
sp|O15254-2|ACOX3_HUMAN;sp|O15254|ACOX3_HUMAN,0.369972803420591,-1.06711438741149,0.477848085416162,-0.684366164966835
sp|O15260|SURF4_HUMAN,0.00850520197008153,-1.50716800937724,0.0258473805607626,-1.58477700821708
sp|O15264|MK13_HUMAN,0.827799503378143,-0.110159480445408,0.0760628065177391,1.00003845192771
sp|O15269|SPTC1_HUMAN,0.206885687163024,0.570155849503492,0.124734970107547,-0.586171577068283
sp|O15327|INP4B_HUMAN,3.1581391727542e-05,-1.13693840328505,0.0234008742550742,-0.704071163090862
sp|O15347|HMGB3_HUMAN,0.00137870435507192,-1.56709924851819,3.4833809714474e-05,-2.12125260288923
sp|O15355|PPM1G_HUMAN,0.00370109078122072,-2.4783125835333,0.00255859720738982,-3.61009279037875
sp|O15371-2|EIF3D_HUMAN;sp|O15371-3|EIF3D_HUMAN;sp|O15371|EIF3D_HUMAN,2.59128898116856e-06,-2.08859336357221,1.00123265234231e-08,-3.15696842195143
sp|O15372|EIF3H_HUMAN,0.974620464076606,-0.0257569273743323,0.0829088817475174,-2.01312908530139
sp|O15382|BCAT2_HUMAN,0.337824375322192,-0.739910954375802,0.0488290596889989,-2.42729030560213
sp|O15397|IPO8_HUMAN,0.0156071746804238,1.63268753734817,0.909993784775708,0.0470542778880501
sp|O15400-2|STX7_HUMAN;sp|O15400|STX7_HUMAN,0.363039962269191,0.325028501741557,2.49326813679396e-05,-1.88599077393294
sp|O15460|P4HA2_HUMAN,0.0753605260260395,-1.86929692514048,0.032876589641095,-2.68125018715556
sp|O15511|ARPC5_HUMAN,0.000155821647949361,-2.38071878570767,5.76927616791068e-10,-4.76656636077888
sp|O15530-2|PDPK1_HUMAN,0.519766195407289,0.353452240594218,0.120269478166657,0.9053501175196
sp|O15533-2|TPSN_HUMAN;sp|O15533-3|TPSN_HUMAN;sp|O15533|TPSN_HUMAN,0.535339409561711,-0.642736746342387,0.231685554008568,-1.12782727367734
sp|O15551|CLD3_HUMAN,0.420534793270505,-0.2082665332685,0.000681159476697779,-1.05264031797041
sp|O43143|DHX15_HUMAN,6.38985175882567e-09,-3.7890893059923,6.11470607481124e-09,-4.39696191301416
sp|O43169|CYB5B_HUMAN,0.00687372202634107,-1.08622438101545,0.00491470076844092,-1.51602137439465
sp|O43175|SERA_HUMAN,0.372782992236719,-0.849403797984077,0.120606730066642,-1.73020906086178
sp|O43181|NDUS4_HUMAN,0.144608393177947,-0.896710709294595,0.667262008337763,-0.407320862182936
sp|O43237-2|DC1L2_HUMAN;sp|O43237|DC1L2_HUMAN,0.137354158385586,-0.486213563839789,0.00118159680185403,-1.2356678965641
sp|O43242|PSMD3_HUMAN,1.75573324989742e-07,-3.0027088152504,2.04781548140964e-06,-3.05832373711047
sp|O43252|PAPS1_HUMAN,0.318744082235926,-1.26850407766123,0.425518106942365,-0.869430103617351
sp|O43264|ZW10_HUMAN,0.188594631361755,-0.758152103648368,0.265134395000483,-0.702711083715919
sp|O43272|PROD_HUMAN,0.0109408995407922,-2.48738141949168,0.732132846427759,0.419878647194445
sp|O43290|SNUT1_HUMAN,0.0017485743558352,-4.52435835821395,0.761003706354393,0.58637981430411
sp|O43294|TGFI1_HUMAN,0.55041834481267,-0.418664278407324,0.261761500153425,-0.969033235282431
sp|O43301|HS12A_HUMAN,1.0519519033636e-08,3.11414171434281,3.05401112992154e-05,2.42444083416992
sp|O43324-2|MCA3_HUMAN;sp|O43324|MCA3_HUMAN,0.0284938999116764,-2.29994333820302,0.302682379517427,-1.1588452903763
sp|O43390|HNRPR_HUMAN,1.49009505046038e-06,-3.05269421041834,3.29797652591779e-05,-2.94468734740248
sp|O43395|PRPF3_HUMAN,0.365096732883968,-0.665861534635813,0.309834890127249,-1.27693363188921
sp|O43396|TXNL1_HUMAN,4.15491128360479e-05,-3.26500785958053,0.00877651047416328,-2.27920411529003
sp|O43399-2|TPD54_HUMAN;sp|O43399-3|TPD54_HUMAN;sp|O43399-4|TPD54_HUMAN;sp|O43399-5|TPD54_HUMAN;sp|O43399-7|TPD54_HUMAN;sp|O43399|TPD54_HUMAN,4.1328794238904e-05,-1.95138545290258,0.0183989952116406,-1.20315777910126
sp|O43447|PPIH_HUMAN,0.187379190011702,-1.30432279461053,0.062602506018113,-1.61900315737318
sp|O43488|ARK72_HUMAN,0.389285374371501,-0.702115676018055,0.806856567237951,-0.229641717588062
sp|O43491-4|E41L2_HUMAN;sp|O43491|E41L2_HUMAN,0.700889371242746,0.170414426827024,0.195888981137086,-0.675806758538791
